"","gene_id","Locus_tag","norm_count","raw_count","BW25113_GSE73673","BW25113_GSE85914"
"297","rclB","b0303",1.05096883562112,1,1,1
"298","rclA","b0304",9.67455855129438,14.5,1,1
"299","rclR","b0305",1.18287046549598,4,1,1
"300","ykgE","b0306",2.62742208905279,2.5,1,1
"301","ykgF","b0307",1.67857595966378,4,1,1
"302","ykgG","b0308",0.597430761378667,2.5,1,1
"303","ykgH","b0310",0.0719463435681084,2,1,1
"304","betA","b0311",16.887447713506,19,1,1
"305","betB","b0312",103.234767036097,103.5,1,1
"306","betI","b0313",98.8150526629077,95,1,1
"307","betT","b0314",18.0085750252003,20,1,1
"308","yahA","b0315",2.14930594445599,3,1,1
"309","yahB","b0316",22.1422918916116,23,1,1
"310","yahC","b0317",0.0479642290454056,1.5,1,1
"311","yahD","b0318",2.10193767124223,2,1,1
"312","yahE","b0319",0.596536827631195,2,1,1
"313","yahF","b0320",1.074652972228,1.5,1,1
"314","yahG","b0321",0.572852691024316,1.5,1,1
"315","yahI","b0323",0.54590895905698,1,1,1
"316","yahJ","b0324",12.194061124995,14.5,1,1
"317","yahK","b0325",75.8757262398523,92,1,1
"318","yahL","b0326",2.44405357962678,48.5,1,1
"319","yahM","b0327",4.72935976029503,4.5,1,1
"320","yahN","b0328",0.561457589594613,1.5,1,1
"321","yahO","b0329",5446.66641514769,5183,1,1
"322","prpR","b0330",5.80996321929301,48.5,1,1
"323","prpB","b0331",0.525484417810559,0.5,1,1
"324","prpC","b0333",0.0479642290454056,1.5,1,1
"325","prpD","b0334",0.572852691024316,1.5,1,1
"326","prpE","b0335",0.0473682732137578,1,1,1
"327","codB","b0336",9.62659432224897,15,1,1
"328","codA","b0337",86.1986952450793,98,1,1
"329","cynR","b0338",8.69369426241884,15,1,1
"330","cynT","b0339",5.27852831471247,5.5,1,1
"331","cynS","b0340",3.17333104810977,3.5,1,1
"332","cynX","b0341",0.627607124042666,3,1,1
"333","lacA","b0342",2.65110622565967,3,1,1
"334","lacY","b0343",0.833378193699984,9.5,1,1
"335","lacZ","b0344",0.686839961599488,18.5,1,1
"336","lacI","b0345",37.6172874404391,45.5,1,1
"337","mhpR","b0346",7.21501126390051,16.5,1,1
"338","mhpA","b0347",1.09181791811396,2,1,1
"339","mhpB","b0348",0.525484417810559,0.5,1,1
"340","mhpC","b0349",6.3058130137267,6,1,1
"341","mhpD","b0350",12.188264315875,14.5,1,1
"342","mhpF","b0351",31.2282506045336,35,1,1
"343","mhpE","b0352",39.6360012895025,43.5,1,1
"344","mhpT","b0353",1.71855807307295,4.5,1,1
"345","yaiL","b0354",10.5576525852566,12,1,1
"346","frmB","b0355",9.45428610813083,19.5,1,1
"347","frmA","b0356",61.2217115022283,64.5,1,1
"348","frmR","b0357",28.9975714376715,31.5,1,1
"349","yaiO","b0358",13.8259911930459,17.5,1,1
"350","insC1","b0360",77.2462094181521,73.5,1,1
"351","insD1","b0361",2.62742208905279,2.5,1,1
"352","yaiP","b0363",3.17659064347023,3.5,1,1
"353","yaiS","b0364",0,0,1,1
"354","tauA","b0365",0.0119910572613514,0.5,1,1
"355","tauB","b0366",2.12591978576494,3,1,1
"356","tauC","b0367",1.62382152664543,2.5,1,1
"357","tauD","b0368",10.0454775621399,11,1,1
"358","hemB","b0369",229.804565384873,224,1,1
